Petr Cech,G,31,0,0,0
Matthew Macey,G,0,0,0,0
David Ospina,G,4,0,0,0
Hector Bellerin,D,33,0,1,4
Calum Chambers,D,2,10,0,0
Kieran Gibbs,D,3,12,1,0
Carl Jenkinson,D,--,--,--,--
Laurent Koscielny,D,30,0,4,0
Per Mertesacker,D,23,0,0,0
Nacho Monreal,D,33,1,0,2
Gabriel Paulista,D,16,2,1,0
Mikel Arteta,M,0,8,0,0
Ismael Bennacer,M,--,--,--,--
Krystian Bielik,M,--,--,--,--
Santi Cazorla,M,14,0,0,3
Francis Coquelin,M,20,3,0,0
Mohamed Elneny,M,7,1,0,0
Mathieu Flamini,M,12,4,0,0
Serge Gnabry,M,--,--,--,--
Alex Iwobi,M,6,5,2,2
Alex Oxlade-Chamberlain,M,9,13,1,0
Aaron Ramsey,M,27,2,5,4
Tomas Rosicky,M,--,--,--,--
Ben Sheaf,M,--,--,--,--
Chris Willock,M,--,--,--,--
Jack Wilshere,M,0,1,0,0
Mesut zil,M,33,0,6,18
Joel Campbell,F,11,7,3,2
Olivier Giroud,F,23,12,12,4
Jeff Reine-Adelaide,F,0,0,0,0
Alexis Snchez,F,25,2,12,4
Theo Walcott,F,15,12,5,2
Danny Welbeck,F,6,3,3,2
Marco Amelia,G,0,0,0,0
Asmir Begovic,G,13,2,0,0
Thibaut Courtois,G,21,0,0,0
Ola Aina,D,0,0,0,0
Csar Azpilicueta,D,32,1,2,2
Gary Cahill,D,17,2,1,1
Jake Clark-Salter,D,0,1,0,0
Branislav Ivanovic,D,30,0,2,2
Matt Miazga,D,2,0,0,0
Baba Rahman,D,9,3,0,0
John Terry,D,22,0,1,0
Kurt Zouma,D,21,2,1,1
Charlie Colkett,M,0,0,0,0
Willian,M,28,3,5,5
Cesc Fbregas,M,29,4,4,7
Eden Hazard,M,22,5,2,3
Ruben Loftus-Cheek,M,4,7,1,0
Nemanja Matic,M,24,5,1,2
John Obi Mikel,M,16,6,0,1
Kasey Palmer,M,0,0,0,0
Bertrand Traore,M,2,5,2,1
Oscar,M,20,5,3,3
Alexandre Pato,F,1,1,1,0
Radamel Falcao,F,1,9,1,0
Kenedy,F,4,9,1,0
Pedro,F,21,5,7,2
Loc Rmy,F,3,10,1,0
Diego Costa,F,25,1,11,5
Tim Howard,G,23,0,0,0
Joel Robles,G,11,0,0,0
Jindrich Stanek,G,0,0,0,0
Leighton Baines,D,12,2,0,1
Tyias Browning,D,3,2,0,0
Seamus Coleman,D,27,1,1,3
Callum Connolly,D,0,1,0,0
Ramiro Funes Mori,D,23,4,4,1
Brendan Galloway,D,14,1,0,1
Tony Hibbert,D,--,--,--,--
Mason Holgate,D,0,0,0,0
Phil Jagielka,D,20,0,0,0
Bryan Oviedo,D,11,2,0,1
Matthew Pennington,D,0,0,0,0
John Stones,D,27,2,0,0
Ross Barkley,M,33,1,8,7
Gareth Barry,M,30,1,0,1
Muhamed Besic,M,6,5,0,0
Tom Cleverley,M,14,5,1,3
Tom Davies,M,0,1,0,0
Darron Gibson,M,1,4,0,0
Aaron Lennon,M,15,6,5,0
James McCarthy,M,25,0,1,2
Kevin Mirallas,M,8,12,2,2
Leon Osman,M,2,5,0,0
Steven Pienaar,M,0,4,0,0
Gerard Deulofeu,F,16,10,2,8
Arouna Kon,F,16,9,5,4
Romelu Lukaku,F,33,0,18,6
Oumar Niasse,F,0,3,0,0
Leandro Rodrguez,F,--,--,--,--
Ben Hamer,G,--,--,0,0
Jonathan Maddison,G,0,0,0,0
Kasper Schmeichel,G,35,0,0,0
Mark Schwarzer,G,0,0,0,0
Benjamin Chilwell,D,0,0,0,0
Christian Fuchs,D,27,2,0,4
Robert Huth,D,34,0,3,0
Liam Moore,D,--,--,--,--
Wes Morgan,D,35,0,1,0
Danny Simpson,D,27,0,0,0
Marcin Wasilewski,D,1,1,0,0
Marc Albrighton,M,33,2,2,6
Daniel Amartey,M,1,4,0,0
Daniel Drinkwater,M,33,0,1,6
Nathan Dyer,M,0,13,1,1
Gokhan Inler,M,3,2,0,0
Matthew James,M,--,--,--,--
N'Golo Kant,M,30,4,1,4
Andy King,M,7,15,1,0
Riyad Mahrez,M,33,1,17,11
Andre Olukanmi,M,--,--,--,--
Jefferey Schlupp,M,13,8,1,1
Joseph Dodoo,F,0,1,0,0
Demarai Gray,F,0,9,0,1
Shinji Okazaki,F,26,7,5,0
Leonardo Ulloa,F,6,21,6,2
Jamie Vardy,F,34,0,22,6
Adam Bogdan,G,1,0,0,0
Simon Mignolet,G,32,0,0,0
Danny Ward,G,1,0,0,0
Steven Caulker,D,1,5,0,0
Daniel Cleary,D,--,--,--,--
Nathaniel Clyne,D,31,0,1,0
Jon Flanagan,D,3,0,0,0
Joseph Gomez,D,5,0,0,1
Tiago Ilori,D,--,--,--,--
Dejan Lovren,D,20,2,0,0
Joseph Maguire,D,--,--,--,--
Conor Masterson,D,--,--,--,--
Alberto Moreno,D,26,4,1,4
Connor Randall,D,2,0,0,0
Mamadou Sakho,D,21,1,1,0
Martin Skrtel,D,18,1,1,0
Brad Smith,D,1,1,0,0
Kevin Stewart,D,3,1,0,0
Jos Enrique,D,--,--,--,--
Kolo Tour,D,8,5,1,0
Joe Allen,M,6,10,1,1
Cameron Brannagan,M,0,0,0,0
Emre Can,M,27,2,1,0
Pedro Chirivella,M,--,--,--,--
Philippe Coutinho,M,21,2,8,5
Jordan Henderson,M,15,1,2,3
Jordon Ibe,M,9,15,0,2
Ryan Kent,M,--,--,--,--
Adam Lallana,M,22,7,4,6
James Milner,M,27,0,5,11
Sheyi Ojo,M,2,2,0,1
Lucas,M,19,5,0,1
Jordan Rossiter,M,0,1,0,0
Joao Carlos Teixeira,M,0,1,0,0
Roberto Firmino,F,23,6,9,7
Christian Benteke,F,12,13,7,2
Danny Ings,F,3,2,2,0
Divock Origi,F,7,9,5,1
Jerome Sinclair,F,0,0,0,0
Daniel Sturridge,F,9,3,8,1
Wilfredo Caballero,G,3,1,0,0
Joe Hart,G,32,0,0,0
Richard Wright,G,0,0,0,0
Oluwatosin Adarabioyo,D,--,--,--,--
Gal Clichy,D,10,2,0,1
Martn Demichelis,D,10,9,0,0
Angelio,D,0,0,0,0
Cameron Humphreys,D,0,0,0,0
Aleksandar Kolarov,D,24,4,3,3
Vincent Kompany,D,13,1,2,0
Eliaquim Mangala,D,20,0,0,0
Nicols Otamendi,D,27,0,1,0
Bacary Sagna,D,25,1,0,3
Pablo Zabaleta,D,11,1,0,1
Brandon Barker,M,0,0,0,0
Bersant Celina,M,0,1,0,1
Kevin De Bruyne,M,20,3,6,9
Fabian Delph,M,7,9,2,0
Aleix Garci Serrano,M,0,0,0,0
Manu Garca,M,0,1,0,0
George Glendon,M,--,--,--,--
James Horsfield,M,0,0,0,0
Samir Nasri,M,3,7,2,2
Jess Navas,M,22,9,0,6
Fernando,M,15,7,2,0
Fernandinho,M,28,2,2,1
David Silva,M,23,2,2,11
Yaya Tour,M,28,2,6,5
Sergio Agero,F,27,1,23,2
Wilfried Bony,F,12,12,4,3
David Faupala,F,--,--,--,--
Kelechi Iheanacho,F,4,19,5,1
Raheem Sterling,F,22,7,6,2
Joel Castro,G,--,--,0,0
David De Gea,G,30,0,0,0
Sam Johnstone,G,0,0,0,0
Sergio Romero,G,4,0,0,0
Daley Blind,D,32,0,1,1
Cameron Borthwick-Jackson,D,5,3,0,1
Matteo Darmian,D,23,4,1,0
Timothy Fosu-Mensah,D,2,5,0,1
Phil Jones,D,6,4,0,0
Donald Love,D,0,1,0,0
Patrick McNair,D,3,5,0,0
Marcos Rojo,D,12,1,0,1
Luke Shaw,D,5,0,0,1
Chris Smalling,D,31,0,0,1
Axel Tuanzebe,D,0,0,0,0
Antonio Valencia,D,4,6,0,1
Gullermo Varela,D,3,1,0,0
Ro-Shaun Williams,D,--,--,--,--
Michael Carrick,M,19,5,0,0
Marouane Fellaini,M,11,6,1,0
Sean Goss,M,0,0,0,0
Ander Herrera,M,15,8,3,2
Adnan Januzaj,M,2,2,1,0
Jesse Lingard,M,16,5,4,1
Juan Mata,M,31,3,5,4
Andreas Pereira,M,0,4,0,0
Regan Poole,M,--,--,--,--
Joe Riley,M,0,0,0,0
Joe Rothwell,M,0,0,0,0
Morgan Schneiderlin,M,24,3,1,0
Bastian Schweinsteiger,M,13,5,1,0
James Weir,M,0,1,0,0
Ashley Young,M,11,6,0,2
Memphis Depay,F,15,11,2,0
William Keane,F,0,1,0,0
Anthony Martial,F,26,2,8,3
Marcus Rashford,F,8,0,4,1
Wayne Rooney,F,23,1,7,4
Karl Darlow,G,6,0,0,0
Robert Elliot,G,21,0,0,0
Tim Krul,G,8,0,0,0
Freddie Woodman,G,0,0,0,0
Fabricio Coloccini,D,26,0,1,0
Paul Dummett,D,20,0,1,0
Massadio Haidara,D,6,1,0,0
Daryl Janmaat,D,31,0,1,3
Jamaal Lascelles,D,8,8,2,0
Kevin Mbabu,D,2,1,0,0
Chancel Mbemba,D,30,0,0,0
Jamie Sterry,D,0,0,0,0
Steven Taylor,D,8,1,0,0
Callum Williams,D,0,0,0,0
Rolando Aarons,M,3,6,0,0
Vurnon Anita,M,22,4,1,3
Jack Colback,M,25,1,1,1
Siem De Jong,M,3,14,0,1
Liam Gibson,M,0,0,0,0
Yoan Gouffran,M,2,6,0,0
Sylvain Marveaux,M,0,0,0,0
Gabriel Obertan,M,3,2,0,1
Henri Saivet,M,2,2,0,0
Jonjo Shelvey,M,25,4,1,5
Moussa Sissoko,M,34,0,1,6
Ismael Tiot,M,13,4,0,0
Andros Townsend,M,9,4,3,2
Georginio Wijnaldum,M,33,2,9,5
Daniel Tan Barlaser,F,0,0,0,0
Papiss Demba Cisse,F,12,7,3,0
Seydou Doumbia,F,0,3,0,0
Aleksandar Mitrovic,F,21,10,8,3
Ayoze Prez,F,22,10,6,2
Emmanuel Riviere,F,1,2,0,0
Kelvin Davis,G,1,0,0,0
Fraser Forster,G,15,0,0,0
Paulo Gazzaniga,G,2,0,0,0
Maarten Stekelenburg,G,17,0,0,0
Cedric Soares,D,23,1,0,2
Ryan Bertrand,D,29,0,0,3
Jose Fonte,D,34,0,2,0
Florin Gardos,D,--,--,--,--
Cuco Martina,D,8,4,1,0
Matt Targett,D,13,1,0,1
Maya Yoshida,D,10,10,1,0
Virgil van Dijk,D,31,0,3,0
Jordy Clasie,M,18,2,0,0
Steven Davis,M,28,3,2,3
Sadio Man,M,27,7,7,6
Harrison Reed,M,0,1,0,0
Oriol Romeu,M,16,10,1,0
Dusan Tadic,M,24,7,7,7
Victor Wanyama,M,26,1,1,1
James Ward-Prowse,M,14,16,2,4
Charlie Austin,F,2,4,1,0
Juanmi,F,0,12,0,0
Shane Long,F,20,5,9,4
Olufela Olomola,F,0,0,0,0
Graziano Pell,F,23,5,10,5
Jay Rodriguez,F,3,8,0,0
Daniel Bachmann,G,--,--,0,0
Jack Butland,G,31,0,0,0
Shay Given,G,2,0,0,0
Jakob Haugaard,G,2,1,0,0
Phillip Bardsley,D,7,1,0,1
Geoff Cameron,D,24,3,0,0
Glen Johnson,D,25,0,0,3
Marc Muniesa,D,12,2,0,0
Erik Pieters,D,32,0,0,1
Ryan Shawcross,D,17,0,0,0
Dionatan Teixeira,D,0,1,0,0
Marc Wilson,D,1,3,0,0
Philipp Wollscheid,D,29,1,0,0
Charlie Adam,M,10,9,0,0
Ibrahim Afellay,M,24,7,2,2
Mohamed El Ouriachi,M,0,0,0,0
Giannelli Imbula,M,11,0,1,0
Stephen Ireland,M,0,12,0,1
Xherdan Shaqiri,M,25,0,3,6
Oliver Shenton,M,0,0,0,0
Glenn Whelan,M,34,0,0,1
Marko Arnautovic,F,30,1,10,5
Peter Crouch,F,2,7,0,0
Mame Diouf,F,12,12,4,1
Bojan Krkic,F,21,4,7,1
Joselu,F,9,12,4,1
Jonathan Walters,F,17,7,5,3
Steve Harper,G,--,--,0,0
Vito Mannone,G,16,0,0,0
Jordan Pickford,G,1,0,0,0
Maksymilian Stryjek,G,--,--,0,0
Tom Beadling,D,0,0,0,0
Wes Brown,D,6,0,0,0
Emmanuel Ebou,D,--,--,--,--
Billy Jones,D,23,0,1,1
Younes Kaboul,D,20,1,0,1
Jan Kirchhoff,D,11,1,0,0
Lamine Kone,D,11,0,0,1
John O'Shea,D,22,3,0,0
Josh Robson,D,--,--,--,--
Patrick Van Aanholt,D,30,0,3,2
DeAndre Yedlin,D,17,2,0,1
Lee Cattermole,M,24,4,0,0
George Honeyman,M,0,0,0,0
Wahbi Khazri,M,10,1,1,1
Sebastian Larsson,M,5,9,0,1
Yann M'Vila,M,33,0,1,3
Jack Rodwell,M,8,13,0,0
Ola Toivonen,M,9,3,0,2
Fabio Borini,F,19,4,4,2
Jermain Defoe,F,25,5,13,1
Jeremain Lens,F,13,6,2,2
Mikael Mandron,F,0,0,0,0
Dame N'Doye,F,4,5,1,0
Duncan Watmore,F,6,13,3,0
